Gauge Name;Pool Address;Reward Token;Reward Address;Reward Amount;
ethereum-sDOLA-01/06/2026;0x69ba1b7DbA7eB3b7A73f4e35fd04a27AD06C55FE;USDC;0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913;1642933352;
arbitrumone-sUSDX-07/08/2025;0x71F5B68188097A36D5604c3783B600bC7102F4aC;SPECTRA;0x64FCC3A02eeEba05Ef701b7eed066c6ebD5d4E51;6589134397878951630285;
ethereum-yvCurve-GHO-USR-08/07/2025;0xB01C2629506ba4f89cbe8Dd823974eC6FDCAD1e1;GHO;0x6Bb7a212910682DCFdbd5BCBb3e28FB4E8da10Ee;410695717826229080576;
ethereum-sw-csUSDL-07/23/2025;0x895C0e40901317A4938611Fb927BDD8415c26651;USDC;0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913;258495965;
ethereum-asdCRV-12/26/2025;0xe590c55Ae6D9c139f95AdBc36FD5c137F8c61fE8;WETH;0x4200000000000000000000000000000000000006;34420000000000000;
ethereum-sdeUSD-07/22/2025;0xFb7c3C95f4C2C05F6eC7dcFE3e368a40eB338603;WETH;0x4200000000000000000000000000000000000006;74480000000000000;
ethereum-yvCurve-GHO-USR-08/07/2025;0xB01C2629506ba4f89cbe8Dd823974eC6FDCAD1e1;WETH;0x4200000000000000000000000000000000000006;10470000000000000;
ethereum-sw-csUSDL-07/23/2025;0x895C0e40901317A4938611Fb927BDD8415c26651;WETH;0x4200000000000000000000000000000000000006;16110000000000000;
ethereum-sDOLA-01/06/2026;0x69ba1b7DbA7eB3b7A73f4e35fd04a27AD06C55FE;WETH;0x4200000000000000000000000000000000000006;11550000000000000;
arbitrumone-sUSDX-07/08/2025;0x71F5B68188097A36D5604c3783B600bC7102F4aC;WETH;0x4200000000000000000000000000000000000006;10930000000000000;
