Gauge Name;Pool Address;Reward Token;Reward Address;Reward Amount;
ethereum-sDOLA-01/06/2026;0x69ba1b7DbA7eB3b7A73f4e35fd04a27AD06C55FE;USDC;0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913;1265204517;
arbitrumone-sUSDX-07/08/2025;0x71F5B68188097A36D5604c3783B600bC7102F4aC;USDC;0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913;279455815;
base-sw-9SETHcore-04/10/2025;0x8D6c6B440054919875D3d7f9FeCc400411643248;SPECTRA;0x64FCC3A02eeEba05Ef701b7eed066c6ebD5d4E51;32841758041506864947481;
ethereum-slvlUSD-04/13/2025;0xAd6Cd1Aceb6E919E4C4918503C22a3F531cf8276;SPECTRA;0x64FCC3A02eeEba05Ef701b7eed066c6ebD5d4E51;656287394698858843748;
ethereum-yvCurve-GHO-USR-08/07/2025;0xB01C2629506ba4f89cbe8Dd823974eC6FDCAD1e1;GHO;0x6Bb7a212910682DCFdbd5BCBb3e28FB4E8da10Ee;408154376022402454098;
ethereum-asdCRV-12/26/2025;0xe590c55ae6d9c139f95adbc36fd5c137f8c61fe8;WETH;0x4200000000000000000000000000000000000006;35221053640843252;
ethereum-sDOLA-01/06/2026;0x69ba1b7dba7eb3b7a73f4e35fd04a27ad06c55fe;WETH;0x4200000000000000000000000000000000000006;9109472523100192;
ethereum-slvlUSD-04/13/2025;0xad6cd1aceb6e919e4c4918503c22a3f531cf8276;WETH;0x4200000000000000000000000000000000000006;59533290239799982;
ethereum-sw-RLP-06/26/2025;0x75c91a79faf0fe64accdbd51e3fa6321d8952d84;WETH;0x4200000000000000000000000000000000000006;86767600071342820;
ethereum-yvCurve-GHO-USR-08/07/2025;0xb01c2629506ba4f89cbe8dd823974ec6fdcad1e1;WETH;0x4200000000000000000000000000000000000006;3310276932257395;
ethereum-wstUSR-06/26/2025;0x16d050778b6599ce94993d2ff83f8da7136421a9;WETH;0x4200000000000000000000000000000000000006;27463680907146748;
