address,token,amount
0x000755Fbe4A24d7478bfcFC1E561AfCE82d1ff62,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,2269191229219038688
0x860b7Abd16672B33Bab84679526227adb283ed8f,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,2731898398834341792750
0xFf2420a08B4CbA07A79953bbDF131788CB36F859,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,679625960845036934
0xfb1bcFd269794d3940B1907356BF9144995C08C7,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,4013644568564600627244
0xb5C443bc3C15003D85EC77f526D1AFF5343eD4b7,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,10168872148515368244547
0x84c4414B5DEc9B663Be00234A8d71b766857f792,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,444075978568243134273
0x22B5629CE137D9B714fD22fbAF19CCbF5f04e58E,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,109205344088847444128705
0x9c5ECEca4DA47c365b12e69EfC04645cD300433d,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,1964132920649628729198
0xd4E73022924E96dD2c98D61621A25B2a63011791,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,44511712925616410204
0xA7dA9F3D1a7b8689206329168d7645D53995c0e3,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,122536326377828089204
0xE37f5219E726CD788708DE42d8E27135b06fB700,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,1137095844765979500
0xD4f9FE0039Da59e6DDb21bbb6E84e0C9e83D73eD,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,103486064182879363246
0x62B8C144b9717016E326054746a1Cee21f3b098B,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,2356474672007996524
0x0F6e98A756A40dD050dC78959f45559F98d3289d,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,363073158450034970217988
0x5DA07af8913A4EAf09E5F569c20138b658906c17,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,60511764599713545560003
0x138dF85038d8E72a391DA7c686F95D9fE2e0C9F9,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,1460576583539870664492
0x4f435Ef03169f3B3E1A39B0dB557EAB7A11293c4,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,283247300797426737114
0x487c6480C33f32435F99cFa4b1E09C0D4e4165f7,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,141885853706061647529411
0x1E8cd608e37fbfedE9721fF1B94Bd5E5b149c911,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,256581022369915537465
0x68AD60917138FB7D39d3D868CB2A5533b58EB30B,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,96213708118887240
0xb312665792d45A3884e605e8B7626aD5b09D66a1,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,1326782584661082732695
0xB2D339982adBCbd90aC44eeFe1946984B1E103a3,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,10695565511553962030379
0xEa7e48B114D35324Fe13c8B7fba5a77b9032db5D,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,13615147375314232133856
0x71dc921f1354Ab555201c6d2779A581b31037AF9,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,6878842802831229
0x0F560D3b9a4000736D41943968181FEC774322b3,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,16575628560464692109
0x805468F9290A3f6e2a7DF28D5a0E7350e54D2934,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,354377177458083673613
0xaB9e01aeA5Ac65B0812F1E0D2EE89D7a6e7d25C9,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,234329847275216808773022
0x20f808cd8d143D3950842037C5B11581e2Fc1C4f,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,529801691433144276947
0x44f4DA18D1e9609E13B3d10cD091e3836C69Bff2,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,27542639750032764397578
0x2Aa107721F1ddb1C0E25543c876118009A16eA05,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,156946530599986221075
0x008e0599513b9b5279a8f5f39e033EAd015a1228,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,17564096723045332625
0x697b4459a81Ef36212FA83cF72cC572E86C50975,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,105806887684143916997
0x9d8fCFE97Ff0D25545C43115e8F39927Dc7936C6,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,20445413391772226028161
0xEab804590011d0650FcB6c4Da1870C6e9ca062D1,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,927141879322060951596
0xf0556A7829a17a7534554Ae1234808943A3eEa2F,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,254221116938022107550
0xF68d4b506ED84e4c9F30652dA9c511A32Bd1A192,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,691899416244950944384
0xc8B19839ae371bd541F20B15c3A3CB82BFB6A6C6,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,339753021376249348
0x2E1531c10054b22d2564e020Dc3a95dcC0d940cc,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,47435544498361562687
0x05B9aeEe6e650D82DaeAA9F31F1F4F9633eB8e3a,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,124355394003816920683
0x757b8564088F39e235e9E5FB57c6FEf37bDD2506,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,113687254390176958053
0xd2F519d59f0ce3645b27F10a5283C7Cf65DD7569,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,79421693022666354
0x3796450bc265cAb3B3C3440eEb3A550730A3E8EC,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,1469107809111496320028
0x318f3BF55949B361708A30c410BD5bF7101EEEb3,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,1090430440458400200546
0x538270cDecB412E2637c4153d3750Ac34c85F5cF,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,458141765573638562
0x371762dc811c3e60A446cAeE0367c8ceDbd32AE2,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,22667468119072170016
0x9CaA41bBdd76D907305fC86f42fbECd61D7Ae1B0,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,4733663496332057532
0x19f8B75A7dB0a380A7eF0836AcDc59355488977E,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,43114633355161735
0x22b908c2FeA7a1e6043FfcDBc77D660D4D326961,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,16997735778131765811744
0x278a8453ECf2f477a5Ab3Cd9b0Ea410b7B2C4182,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,247782253069199462460
0xbC3678f66676442b725dcA935C5D571f5Cd8aB8C,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,656735356887842585540
0x0661f7963fA984bDFE53F86FCe7b3172D63BEC13,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,729079811055158779865
0xD7bD783b57Cd6201CC0A9d736c866223b57e02ea,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,229559550283894989740
0x8b890c14f7F9EC9860fbC85e04f4bc492B470Dcd,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,4965252069301805342
0xe7ef5F4803E85f91871Bc8f4a609b954F2112ac9,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,2153834623890459638183
0x3AE2a1F969c664261707729Ec18de489EA3D0A73,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,337108779821551168595
0xBc53e2a238540c0F3CdBa43Caa5F11ffe7e7ed43,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,15473329569146133050
0x964B2C3dF9F29DEd421ab05974306255f20a1F98,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,226919122921903868897610
0x4aD5101407B1eBeeA46a90702D22EE60F36022E5,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,741471675989064412935
0xBAaE4AdE0C1f5c1338475A4d3D1b8BEA918EfEab,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,145357599978916537
0xE3881F30b0Ac4027D96C42E71F2c5547c99BDe8c,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,1632115791615793577046
0xcA42fD3F16830a5a29f27450f683c0165E5Ea104,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,2305378967596134338790
0xbab60aE7CC2dd7e2c1C0C2a39EFb972Ef71120d0,0x1789e0043623282D5DCc7F213d703C6D8BAfBB04,192881569790828441
